"fecha","mes","anio","servicio","tipo_pago","afluencia"
2022-04-18,"Abril",2022,"Sevicios Temporales","boleto",16553
2022-04-18,"Abril",2022,"Sevicios Temporales","prepago",608
2022-04-18,"Abril",2022,"Sevicios Temporales","gratuidad",3835
2022-04-19,"Abril",2022,"Sevicios Temporales","boleto",12579
2022-04-19,"Abril",2022,"Sevicios Temporales","prepago",573
2022-04-19,"Abril",2022,"Sevicios Temporales","gratuidad",2913
2022-04-20,"Abril",2022,"Sevicios Temporales","boleto",13111
2022-04-20,"Abril",2022,"Sevicios Temporales","prepago",352
2022-04-20,"Abril",2022,"Sevicios Temporales","gratuidad",3040
2022-04-21,"Abril",2022,"Sevicios Temporales","boleto",13012
2022-04-21,"Abril",2022,"Sevicios Temporales","prepago",698
2022-04-21,"Abril",2022,"Sevicios Temporales","gratuidad",3017
2022-04-22,"Abril",2022,"Sevicios Temporales","boleto",11807
2022-04-22,"Abril",2022,"Sevicios Temporales","prepago",565
2022-04-22,"Abril",2022,"Sevicios Temporales","gratuidad",2738
2022-04-23,"Abril",2022,"Sevicios Temporales","boleto",8394
2022-04-23,"Abril",2022,"Sevicios Temporales","prepago",125
2022-04-23,"Abril",2022,"Sevicios Temporales","gratuidad",1945
2022-04-24,"Abril",2022,"Sevicios Temporales","boleto",4650
2022-04-24,"Abril",2022,"Sevicios Temporales","prepago",37
2022-04-24,"Abril",2022,"Sevicios Temporales","gratuidad",1077
2022-04-25,"Abril",2022,"Sevicios Temporales","boleto",13226
2022-04-25,"Abril",2022,"Sevicios Temporales","prepago",566
2022-04-25,"Abril",2022,"Sevicios Temporales","gratuidad",3067
2022-04-26,"Abril",2022,"Sevicios Temporales","boleto",12611
2022-04-26,"Abril",2022,"Sevicios Temporales","prepago",402
2022-04-26,"Abril",2022,"Sevicios Temporales","gratuidad",2927
2022-04-27,"Abril",2022,"Sevicios Temporales","boleto",14042
2022-04-27,"Abril",2022,"Sevicios Temporales","prepago",483
